Date,balance,wager_net,daily_diff,perc_change,high,low,adjusted_high,open,close
2023-08-21,1340.8,1340.8,1340.8,inf,1340.8,,,,1340.8
2023-08-22,6299.45,4958.65,4958.65,369.827714797136,6299.45,1340.8,1394.432,1340.8,6299.45
2023-08-23,12210.09,5910.64,5910.64,93.82787386200383,12210.09,6299.45,6551.428,6299.45,12210.09
2023-08-24,17181.780000000002,4971.69,4971.690000000002,40.7178816863758,17181.780000000002,12210.09,12698.4936,12210.09,17181.780000000002
2023-08-25,32625.930000000008,15444.150000000001,15444.150000000005,89.88678705000298,32625.930000000008,17181.780000000002,17869.0512,17181.780000000002,32625.930000000008
2023-08-26,40170.930000000015,7545.0,7545.000000000007,23.12577756404187,40170.930000000015,32625.930000000008,33930.96720000001,32625.930000000008,40170.930000000015
2023-08-27,50428.41000000001,10257.48,10257.479999999996,25.534584337479842,50428.41000000001,40170.930000000015,41777.76720000002,40170.930000000015,50428.41000000001
2023-08-28,43218.240000000005,-9909.5,-7210.1700000000055,-14.297833304678859,52445.546400000014,43218.240000000005,52445.546400000014,50428.41000000001,43218.240000000005
2023-08-29,53127.740000000005,2699.33,9909.5,22.928976284087458,53127.740000000005,43218.240000000005,44946.969600000004,43218.240000000005,53127.740000000005
2023-08-30,38230.51000000001,-4987.73,-14897.229999999996,-28.0403984810948,55252.84960000001,38230.51000000001,55252.84960000001,53127.740000000005,38230.51000000001
2023-08-31,43180.28,4949.7699999999995,4949.7699999999895,12.947172297727622,43180.28,38230.51000000001,39759.73040000001,38230.51000000001,43180.28
2023-09-01,46779.770000000004,3599.4900000000002,3599.4900000000052,8.335957988229826,46779.770000000004,43180.28,44907.4912,43180.28,46779.770000000004
2023-09-02,58793.74,12013.970000000001,12013.969999999994,25.68197748727707,58793.74,46779.770000000004,48650.96080000001,46779.770000000004,58793.74
2023-09-03,71184.23,12390.49,12390.489999999998,21.074505551101186,71184.23,58793.74,61145.4896,58793.74,71184.23
